"pressure","profile","value"
"66818",18,"id1602_2003",1027.19206010848
"66819",19,"id1602_2003",1027.19078322737
"66820",20,"id1602_2003",1027.19335051896
"66821",21,"id1602_2003",1027.19106326717
"66822",22,"id1602_2003",1027.19597597905
"66823",23,"id1602_2003",1027.19943459901
"66824",24,"id1602_2003",1027.19919466055
"66825",25,"id1602_2003",1027.20551900074
"66826",26,"id1602_2003",1027.20878552304
"66827",27,"id1602_2003",1027.2098475408
"66828",28,"id1602_2003",1027.21879622841
"66829",29,"id1602_2003",1027.22175333381
"66830",30,"id1602_2003",1027.22534595596
"66831",31,"id1602_2003",1027.23342301603
"66832",32,"id1602_2003",1027.23962099488
"66833",33,"id1602_2003",1027.24458750824
"66834",34,"id1602_2003",1027.24936514422
"66835",35,"id1602_2003",1027.25370215237
"66836",36,"id1602_2003",1027.25846741145
"66837",37,"id1602_2003",1027.2642968709
"66838",38,"id1602_2003",1027.27127387516
"66839",39,"id1602_2003",1027.27971632576
"66840",40,"id1602_2003",1027.28923440441
"66841",41,"id1602_2003",1027.29869885079
"66842",42,"id1602_2003",1027.30734405282
"66843",43,"id1602_2003",1027.31502441072
"66844",44,"id1602_2003",1027.32194481837
"66845",45,"id1602_2003",1027.32814624436
"66846",46,"id1602_2003",1027.33364472323
"66847",47,"id1602_2003",1027.33855840844
"66848",48,"id1602_2003",1027.34314463547
"66849",49,"id1602_2003",1027.34770315243
"66850",50,"id1602_2003",1027.35239657552
"66851",51,"id1602_2003",1027.35723128396
"70803",3,"id1625_2003",1026.18079884812
"70804",4,"id1625_2003",1026.17728606535
"70805",5,"id1625_2003",1026.17152776221
"70806",6,"id1625_2003",1026.17266032479
"70807",7,"id1625_2003",1026.17789486754
"70808",8,"id1625_2003",1026.19387814759
"70809",9,"id1625_2003",1026.17190856638
"70810",10,"id1625_2003",1026.16074696413
"70811",11,"id1625_2003",1026.19921549935
"70812",12,"id1625_2003",1026.17774612465
"70813",13,"id1625_2003",1026.14387119931
"70814",14,"id1625_2003",1026.56050383677
"70815",15,"id1625_2003",1026.98486572699
"70816",16,"id1625_2003",1026.98658522925
"70817",17,"id1625_2003",1027.04051588012
"70818",18,"id1625_2003",1027.14157853114
"70819",19,"id1625_2003",1027.19944821369
"70820",20,"id1625_2003",1027.21372777255
"70821",21,"id1625_2003",1027.22296219731
"70822",22,"id1625_2003",1027.23061345986
"70823",23,"id1625_2003",1027.23611970021
"70824",24,"id1625_2003",1027.24192035967
"70825",25,"id1625_2003",1027.24710060751
"70826",26,"id1625_2003",1027.25255614178
"70827",27,"id1625_2003",1027.25853162376
"70828",28,"id1625_2003",1027.26435842581
"70829",29,"id1625_2003",1027.27064913637
"70830",30,"id1625_2003",1027.27640150747
"70831",31,"id1625_2003",1027.28105754254
"70832",32,"id1625_2003",1027.2856832076
"70833",33,"id1625_2003",1027.29030886137
"70834",34,"id1625_2003",1027.29493450893
"70835",35,"id1625_2003",1027.29956015242
"70836",36,"id1625_2003",1027.30418579317
"70837",37,"id1625_2003",1027.30881143195
"70838",38,"id1625_2003",1027.31343706923
"70839",39,"id1625_2003",1027.31806270537
"70840",40,"id1625_2003",1027.32268834067
"70841",41,"id1625_2003",1027.32731397534
"70842",42,"id1625_2003",1027.33193960956
"70843",43,"id1625_2003",1027.33656524347
"70844",44,"id1625_2003",1027.34119087716
"70845",45,"id1625_2003",1027.3458165107
"70846",46,"id1625_2003",1027.35044214413
"70847",47,"id1625_2003",1027.35506777749
"70848",48,"id1625_2003",1027.3596934108
"70849",49,"id1625_2003",1027.36431904407
"70850",50,"id1625_2003",1027.36894467732
"70851",51,"id1625_2003",1027.37357031055
"70852",52,"id1625_2003",1027.37819594377
"70853",53,"id1625_2003",1027.38282157699
"70854",54,"id1625_2003",1027.38744721019
"70855",55,"id1625_2003",1027.3920728434
"94805",5,"id2117_2003",1026.11462928635
"94806",6,"id2117_2003",1026.12027428064
"94807",7,"id2117_2003",1026.12710438776
"94808",8,"id2117_2003",1026.12156750002
"94809",9,"id2117_2003",1026.13627750718
"94810",10,"id2117_2003",1026.17576592162
"94811",11,"id2117_2003",1026.29105055959
"94812",12,"id2117_2003",1026.36909011181
"94813",13,"id2117_2003",1026.44458229568
"94814",14,"id2117_2003",1026.50212031169
"94815",15,"id2117_2003",1026.58958456078
"94816",16,"id2117_2003",1026.74619850477
"94817",17,"id2117_2003",1026.94363121102
"94818",18,"id2117_2003",1026.98173013935
"94819",19,"id2117_2003",1026.98468009565
"94820",20,"id2117_2003",1026.99672650901
"94821",21,"id2117_2003",1027.00189496817
"94822",22,"id2117_2003",1027.00731158022
"94823",23,"id2117_2003",1027.01255743695
"94824",24,"id2117_2003",1027.01675812625
"94825",25,"id2117_2003",1027.02131927246
"94826",26,"id2117_2003",1027.02611454442
"94827",27,"id2117_2003",1027.03090981658
"94828",28,"id2117_2003",1027.03570508878
"94829",29,"id2117_2003",1027.04050036101
